contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Expiration_date
IBIT241220C00049000,2024-11-22 18:48:05+00:00,49.0,8.6,8.6,8.8,0.25,2.9940119,5.0,285.0,0.6626010302734376,True,REGULAR,USD,2024-12-20
IBIT241220C00050000,2024-11-22 20:51:01+00:00,50.0,7.9,7.9,8.0,0.0,0.0,445.0,3809.0,0.6594272338867189,True,REGULAR,USD,2024-12-20
IBIT241220C00051000,2024-11-22 19:14:17+00:00,51.0,7.32,7.1,7.3,0.42000008,6.0869575,19.0,451.0,0.649417568359375,True,REGULAR,USD,2024-12-20
IBIT241220C00052000,2024-11-22 20:33:38+00:00,52.0,6.54,6.4,6.6,0.03999996,0.615384,759.0,2935.0,0.6425816992187501,True,REGULAR,USD,2024-12-20
IBIT241220C00053000,2024-11-22 20:56:38+00:00,53.0,5.9,5.8,6.0,0.099999905,1.7241362,435.0,8318.0,0.647464462890625,True,REGULAR,USD,2024-12-20
IBIT241220C00054000,2024-11-22 20:59:12+00:00,54.0,5.34,5.3,5.4,0.1800003,3.4883783,320.0,7412.0,0.6533237792968751,True,REGULAR,USD,2024-12-20
IBIT241220C00055000,2024-11-22 20:58:57+00:00,55.0,4.8,4.7,4.9,0.10000038,2.1276677,4100.0,10315.0,0.6521030883789063,True,REGULAR,USD,2024-12-20
IBIT241220C00056000,2024-11-22 20:59:24+00:00,56.0,4.31,4.2,4.4,0.11000013,2.619051,769.0,3335.0,0.6525913647460939,True,REGULAR,USD,2024-12-20
IBIT241220C00057000,2024-11-22 20:59:38+00:00,57.0,3.83,3.7,3.9,0.029999971,0.78947294,724.0,4575.0,0.6467320483398438,False,REGULAR,USD,2024-12-20
IBIT241220C00058000,2024-11-22 20:59:13+00:00,58.0,3.4,3.3,3.5,0.0,0.0,993.0,6162.0,0.6508823974609376,False,REGULAR,USD,2024-12-20
IBIT241220C00059000,2024-11-22 20:58:55+00:00,59.0,3.0,3.0,3.1,0.0,0.0,548.0,3773.0,0.6569858520507813,False,REGULAR,USD,2024-12-20
IBIT241220C00060000,2024-11-22 20:59:43+00:00,60.0,2.71,2.65,2.75,0.00999999,0.37037,7604.0,15394.0,0.6577182666015625,False,REGULAR,USD,2024-12-20
IBIT241220C00061000,2024-11-22 20:43:45+00:00,61.0,2.4,2.35,2.45,-0.00999999,-0.41493738,1017.0,5489.0,0.6611362011718751,False,REGULAR,USD,2024-12-20
IBIT241220C00062000,2024-11-22 20:56:24+00:00,62.0,2.11,2.05,2.15,-0.02000022,-0.9389774,908.0,8579.0,0.659183095703125,False,REGULAR,USD,2024-12-20
IBIT241220C00063000,2024-11-22 20:27:59+00:00,63.0,1.86,1.85,1.95,-0.059999943,-3.1249971,152.0,4831.0,0.6699251757812501,False,REGULAR,USD,2024-12-20
IBIT241220C00064000,2024-11-22 20:49:32+00:00,64.0,1.65,1.6,1.7,-0.05000007,-2.9411805,2956.0,2263.0,0.6669955175781253,False,REGULAR,USD,2024-12-20
IBIT241220C00065000,2024-11-22 20:59:01+00:00,65.0,1.45,1.45,1.5,-0.07999992,-5.2287536,11807.0,18887.0,0.6738313867187502,False,REGULAR,USD,2024-12-20
IBIT241220C00066000,2024-11-22 20:06:07+00:00,66.0,1.3,1.25,1.35,-0.0200001,-1.515159,56.0,355.0,0.6765169067382814,False,REGULAR,USD,2024-12-20
